facet,sample,component,value,source_type,source_seed
Panel A,F1-S01,Component A,0.205231361284,simulated,1
Panel A,F1-S01,Component B,0.112778261085,simulated,1
Panel A,F1-S01,Component C,0.219611368881,simulated,1
Panel A,F1-S01,Component D,0.030731272491,simulated,1
Panel A,F1-S01,Component E,0.177383340385,simulated,1
Panel A,F1-S01,Component F,0.051409693647,simulated,1
Panel A,F1-S01,Component G,0.116859476326,simulated,1
Panel A,F1-S01,Component H,0.085995225901,simulated,1
Panel A,F1-S02,Component A,0.247690254584,simulated,1
Panel A,F1-S02,Component B,0.067691285976,simulated,1
Panel A,F1-S02,Component C,0.101437715148,simulated,1
Panel A,F1-S02,Component D,0.044504106431,simulated,1
Panel A,F1-S02,Component E,0.271973050095,simulated,1
Panel A,F1-S02,Component F,0.081762015610,simulated,1
Panel A,F1-S02,Component G,0.062848601093,simulated,1
Panel A,F1-S02,Component H,0.122092971063,simulated,1
Panel A,F1-S03,Component A,0.167325479104,simulated,1
Panel A,F1-S03,Component B,0.028050692254,simulated,1
Panel A,F1-S03,Component C,0.448603750079,simulated,1
Panel A,F1-S03,Component D,0.120557869793,simulated,1
Panel A,F1-S03,Component E,0.035788367314,simulated,1
Panel A,F1-S03,Component F,0.081029681951,simulated,1
Panel A,F1-S03,Component G,0.017245068748,simulated,1
Panel A,F1-S03,Component H,0.101399090757,simulated,1
Panel A,F1-S04,Component A,0.184103146110,simulated,1
Panel A,F1-S04,Component B,0.103928442683,simulated,1
Panel A,F1-S04,Component C,0.213018184302,simulated,1
Panel A,F1-S04,Component D,0.095488449434,simulated,1
Panel A,F1-S04,Component E,0.262934555935,simulated,1
Panel A,F1-S04,Component F,0.002104279705,simulated,1
Panel A,F1-S04,Component G,0.023732167666,simulated,1
Panel A,F1-S04,Component H,0.114690774165,simulated,1
Panel A,F1-S05,Component A,0.167300615615,simulated,1
Panel A,F1-S05,Component B,0.133384243974,simulated,1
Panel A,F1-S05,Component C,0.055526281287,simulated,1
Panel A,F1-S05,Component D,0.041764574550,simulated,1
Panel A,F1-S05,Component E,0.280431759349,simulated,1
Panel A,F1-S05,Component F,0.022585663140,simulated,1
