time,estimate,curve_id,data_status,simulation_seed
0,1.0000,Curve A,SIMULATED,18
1,0.9568,Curve A,SIMULATED,18
2,0.8921,Curve A,SIMULATED,18
3,0.8420,Curve A,SIMULATED,18
4.5,0.7981,Curve A,SIMULATED,18
6,0.7411,Curve A,SIMULATED,18
8,0.6839,Curve A,SIMULATED,18
10,0.6273,Curve A,SIMULATED,18
12,0.5716,Curve A,SIMULATED,18
0,1.0000,Curve B,SIMULATED,18
1,0.9411,Curve B,SIMULATED,18
2,0.8827,Curve B,SIMULATED,18
3,0.8045,Curve B,SIMULATED,18
4.5,0.7429,Curve B,SIMULATED,18
6,0.6656,Curve B,SIMULATED,18
8,0.5832,Curve B,SIMULATED,18
10,0.4972,Curve B,SIMULATED,18
12,0.4077,Curve B,SIMULATED,18
0,1.0000,Curve C,SIMULATED,18
1,0.9304,Curve C,SIMULATED,18
2,0.8608,Curve C,SIMULATED,18
3,0.7687,Curve C,SIMULATED,18
4.5,0.6838,Curve C,SIMULATED,18
6,0.6157,Curve C,SIMULATED,18
8,0.5262,Curve C,SIMULATED,18
10,0.4279,Curve C,SIMULATED,18
12,0.3313,Curve C,SIMULATED,18
