event_id,subject_id,time,event_type,time_unit,data_status,simulation_seed
E-01-1,S-01,5.0,checkpoint,weeks,SIMULATED,26
E-01-2,S-01,12.4,milestone,weeks,SIMULATED,26
E-01-3,S-01,35.9,closure,weeks,SIMULATED,26
E-02-1,S-02,7.4,checkpoint,weeks,SIMULATED,26
E-02-2,S-02,15.4,milestone,weeks,SIMULATED,26
E-02-3,S-02,19.0,closure,weeks,SIMULATED,26
E-03-3,S-03,38.3,closure,weeks,SIMULATED,26
E-04-2,S-04,15.3,milestone,weeks,SIMULATED,26
E-04-3,S-04,32.3,closure,weeks,SIMULATED,26
E-05-1,S-05,6.7,checkpoint,weeks,SIMULATED,26
E-05-2,S-05,11.2,milestone,weeks,SIMULATED,26
E-05-3,S-05,25.0,closure,weeks,SIMULATED,26
E-06-1,S-06,8.3,checkpoint,weeks,SIMULATED,26
E-06-2,S-06,17.2,milestone,weeks,SIMULATED,26
E-06-3,S-06,37.6,closure,weeks,SIMULATED,26
E-07-2,S-07,13.2,milestone,weeks,SIMULATED,26
E-07-3,S-07,40.6,closure,weeks,SIMULATED,26
E-08-1,S-08,4.2,checkpoint,weeks,SIMULATED,26
E-08-3,S-08,35.1,closure,weeks,SIMULATED,26
E-09-1,S-09,4.5,checkpoint,weeks,SIMULATED,26
E-09-3,S-09,31.0,closure,weeks,SIMULATED,26
E-10-1,S-10,5.2,checkpoint,weeks,SIMULATED,26
E-10-2,S-10,10.2,milestone,weeks,SIMULATED,26
E-10-3,S-10,20.3,closure,weeks,SIMULATED,26
E-11-1,S-11,7.9,checkpoint,weeks,SIMULATED,26
E-11-2,S-11,16.7,milestone,weeks,SIMULATED,26
E-11-3,S-11,36.3,closure,weeks,SIMULATED,26
E-12-1,S-12,4.2,checkpoint,weeks,SIMULATED,26
E-12-2,S-12,11.7,milestone,weeks,SIMULATED,26
E-12-3,S-12,18.8,closure,weeks,SIMULATED,26
E-13-1,S-13,6.9,checkpoint,weeks,SIMULATED,26
E-13-2,S-13,12.3,milestone,weeks,SIMULATED,26
E-13-3,S-13,29.4,closure,weeks,SIMULATED,26
E-14-3,S-14,28.3,closure,weeks,SIMULATED,26
E-15-1,S-15,6.1,checkpoint,weeks,SIMULATED,26
E-15-2,S-15,15.0,milestone,weeks,SIMULATED,26
E-15-3,S-15,34.3,closure,weeks,SIMULATED,26
E-16-1,S-16,6.0,checkpoint,weeks,SIMULATED,26
E-16-3,S-16,31.1,closure,weeks,SIMULATED,26
E-17-1,S-17,8.9,checkpoint,weeks,SIMULATED,26
E-17-2,S-17,17.6,milestone,weeks,SIMULATED,26
E-17-3,S-17,32.3,closure,weeks,SIMULATED,26
E-18-2,S-18,13.6,milestone,weeks,SIMULATED,26
E-18-3,S-18,35.6,closure,weeks,SIMULATED,26
