id,group,measure_1,measure_2,category_1,binary_flag,score,source_type,source_seed
G1-S001,Group A,6.442615,,Level A,No,57.369648,simulated,27
G1-S002,Group A,4.460075,1.644329,Level C,Yes,53.385371,simulated,27
G1-S003,Group A,4.642394,2.513785,Level A,No,,simulated,27
G1-S004,Group A,4.217829,4.640985,Level C,No,41.102379,simulated,27
G1-S005,Group A,4.925625,1.607006,Level A,Yes,55.117167,simulated,27
G1-S006,Group A,5.086737,3.514696,Level B,Yes,53.332004,simulated,27
G1-S007,Group A,,3.115591,Level B,No,62.078622,simulated,27
G1-S008,Group A,3.177471,2.424661,Level B,Yes,57.837234,simulated,27
G1-S009,Group A,4.230960,,Level C,,43.826998,simulated,27
G1-S010,Group A,5.704931,1.802668,Level C,No,64.342991,simulated,27
G1-S011,Group A,5.996077,5.640887,Level C,Yes,51.605358,simulated,27
G1-S012,Group A,4.687206,1.340333,Level A,Yes,55.818247,simulated,27
G1-S013,Group A,4.397323,1.056771,,No,57.895978,simulated,27
G1-S014,Group A,4.456467,2.627526,,No,39.914690,simulated,27
G1-S015,Group A,6.767873,3.649232,Level C,No,55.810483,simulated,27
G1-S016,Group A,,1.149290,Level B,Yes,54.843321,simulated,27
G1-S017,Group A,5.321108,2.653218,Level A,No,50.492736,simulated,27
G1-S018,Group A,7.111922,3.996336,Level C,Yes,37.201910,simulated,27
G1-S019,Group A,4.602682,3.999580,Level A,No,,simulated,27
G1-S020,Group A,5.519158,2.624493,Level B,No,46.903833,simulated,27
G1-S021,Group A,3.642564,1.289138,Level B,No,65.334384,simulated,27
G1-S022,Group A,4.137280,2.742600,Level B,No,46.373289,simulated,27
G1-S023,Group A,5.110230,4.905167,Level A,No,49.434996,simulated,27
G1-S024,Group A,6.370899,1.899346,Level C,Yes,58.860840,simulated,27
G1-S025,Group A,6.531217,2.937760,Level A,No,54.660728,simulated,27
G1-S026,Group A,,1.867747,Level B,Yes,56.116613,simulated,27
G1-S027,Group A,4.146658,2.905602,Level B,No,35.055081,simulated,27
G1-S028,Group A,6.538134,8.498393,Level A,No,36.434671,simulated,27
G1-S029,Group A,5.809183,4.446502,,No,38.198847,simulated,27
G1-S030,Group A,4.743082,2.032759,Level C,Yes,60.511392,simulated,27
G2-S001,Group B,4.176189,2.277276,Level B,No,49.042790,simulated,27
G2-S002,Group B,3.022250,4.097929,Level B,Yes,57.225206,simulated,27
G2-S003,Group B,6.207691,5.238263,Level C,Yes,43.097460,simulated,27
G2-S004,Group B,7.258766,1.287363,Level C,No,43.778548,simulated,27
G2-S005,Group B,,3.224216,Level B,No,38.822348,simulated,27
G2-S006,Group B,,3.577491,Level A,Yes,47.996767,simulated,27
G2-S007,Group B,4.559577,3.179731,Level A,No,53.951263,simulated,27
G2-S008,Group B,5.007364,2.383801,Level A,Yes,35.151418,simulated,27
