observation_id,sample_id,x,y,category,sample_order,source_type,source_seed
obs_001,Sample 1,-1.39872,0.37310,State A,1,simulated,41
obs_002,Sample 1,-0.93788,0.72830,State A,1,simulated,41
obs_003,Sample 1,-1.62824,0.07000,State A,1,simulated,41
obs_004,Sample 1,-1.51025,0.16953,State A,1,simulated,41
obs_005,Sample 1,-1.29228,-0.07551,State A,1,simulated,41
obs_006,Sample 1,-1.16969,-0.11096,State A,1,simulated,41
obs_007,Sample 1,-1.08971,0.02227,State A,1,simulated,41
obs_008,Sample 1,-1.16037,0.36784,State A,1,simulated,41
obs_009,Sample 1,-1.27845,0.10076,State A,1,simulated,41
obs_010,Sample 1,-1.46987,-0.03752,State A,1,simulated,41
obs_011,Sample 1,-0.79344,0.40991,State A,1,simulated,41
obs_012,Sample 1,-0.69973,0.35338,State A,1,simulated,41
obs_013,Sample 1,-1.14429,0.10341,State A,1,simulated,41
obs_014,Sample 1,-1.31762,-0.15138,State A,1,simulated,41
obs_015,Sample 1,-0.95521,0.51322,State A,1,simulated,41
obs_016,Sample 1,-0.80886,0.63783,State A,1,simulated,41
obs_017,Sample 1,-1.54357,-0.39833,State A,1,simulated,41
obs_018,Sample 1,-1.01884,0.32216,State A,1,simulated,41
obs_019,Sample 1,0.47042,0.71588,State B,1,simulated,41
obs_020,Sample 1,0.99237,1.42601,State B,1,simulated,41
obs_021,Sample 1,0.88518,0.77602,State B,1,simulated,41
obs_022,Sample 1,1.00285,1.24450,State B,1,simulated,41
obs_023,Sample 1,0.40511,1.15313,State B,1,simulated,41
obs_024,Sample 1,0.46963,0.96060,State B,1,simulated,41
obs_025,Sample 1,0.89937,0.96827,State B,1,simulated,41
obs_026,Sample 1,0.31338,1.05424,State B,1,simulated,41
obs_027,Sample 1,0.33702,1.13594,State B,1,simulated,41
obs_028,Sample 1,0.19094,0.82255,State B,1,simulated,41
obs_029,Sample 1,0.51144,-1.18234,State C,1,simulated,41
obs_030,Sample 1,0.71641,-0.92941,State C,1,simulated,41
obs_031,Sample 1,1.19058,-0.87738,State C,1,simulated,41
obs_032,Sample 1,0.97948,-1.29569,State C,1,simulated,41
obs_033,Sample 1,0.96822,-0.76696,State C,1,simulated,41
obs_034,Sample 1,1.05821,-0.62316,State C,1,simulated,41
obs_035,Sample 1,0.38915,-1.34475,State C,1,simulated,41
obs_036,Sample 1,0.42429,-1.16471,State C,1,simulated,41
obs_037,Sample 1,-0.13547,-1.47032,State D,1,simulated,41
obs_038,Sample 1,-0.53445,-0.68223,State D,1,simulated,41
obs_039,Sample 1,-0.59395,-1.32533,State D,1,simulated,41
obs_040,Sample 1,-0.80914,-0.80441,State D,1,simulated,41
