source,target,weight,edge_group,source_type,source_seed
n01,n02,1.4,within,simulated,44
n01,n04,1.0,within,simulated,44
n01,n06,1.8,within,simulated,44
n02,n03,1.1,within,simulated,44
n03,n05,1.5,within,simulated,44
n03,n06,1.2,within,simulated,44
n04,n05,0.8,within,simulated,44
n04,n06,1.0,within,simulated,44
n07,n08,1.0,within,simulated,44
n07,n10,1.6,within,simulated,44
n07,n12,1.5,within,simulated,44
n08,n09,1.1,within,simulated,44
n09,n11,1.5,within,simulated,44
n09,n12,1.2,within,simulated,44
n10,n11,0.8,within,simulated,44
n10,n12,1.1,within,simulated,44
n13,n14,1.2,within,simulated,44
n13,n16,0.9,within,simulated,44
n13,n18,1.6,within,simulated,44
n14,n15,1.0,within,simulated,44
n14,n17,1.1,within,simulated,44
n15,n17,1.3,within,simulated,44
n15,n18,1.4,within,simulated,44
n16,n17,0.8,within,simulated,44
n03,n07,0.7,between,simulated,44
n05,n13,0.6,between,simulated,44
n10,n18,0.7,between,simulated,44
n12,n15,0.6,between,simulated,44
