node_id,label,x,y,cluster,size,show_label,source_type,source_seed
n01,A1,-1.55,0.70,Cluster A,1.8,true,simulated,44
n02,A2,-1.15,1.18,Cluster A,1.2,false,simulated,44
n03,A3,-0.72,0.72,Cluster A,1.4,true,simulated,44
n04,A4,-1.32,0.20,Cluster A,0.9,false,simulated,44
n05,A5,-0.72,0.08,Cluster A,1.0,false,simulated,44
n06,A6,-1.05,0.64,Cluster A,1.1,false,simulated,44
n07,B1,0.48,0.92,Cluster B,1.7,true,simulated,44
n08,B2,0.98,1.25,Cluster B,1.0,false,simulated,44
n09,B3,1.43,0.77,Cluster B,1.4,true,simulated,44
n10,B4,0.72,0.31,Cluster B,0.9,false,simulated,44
n11,B5,1.36,0.18,Cluster B,1.1,false,simulated,44
n12,B6,0.98,0.72,Cluster B,1.2,false,simulated,44
n13,C1,-0.38,-0.78,Cluster C,1.6,true,simulated,44
n14,C2,0.18,-1.16,Cluster C,1.1,false,simulated,44
n15,C3,0.72,-0.76,Cluster C,1.3,true,simulated,44
n16,C4,-0.32,-1.40,Cluster C,0.9,false,simulated,44
n17,C5,0.40,-1.52,Cluster C,1.0,false,simulated,44
n18,C6,0.12,-0.62,Cluster C,1.2,false,simulated,44
