sample_id,group,metric_alpha,metric_beta,metric_gamma,metric_delta,metric_epsilon,data_status,simulation_seed
S-001,Group A,48.78,25.59,15.26,31.00,35.87,SIMULATED,49
S-002,Group B,54.15,24.24,16.48,34.93,41.06,SIMULATED,49
S-003,Group C,62.11,18.64,16.03,39.48,41.23,SIMULATED,49
S-004,Group A,56.79,21.71,14.23,37.13,41.15,SIMULATED,49
S-005,Group B,58.11,24.93,14.17,38.18,43.94,SIMULATED,49
S-006,Group C,58.69,23.72,13.45,37.82,47.99,SIMULATED,49
S-007,Group A,51.56,29.08,12.04,33.56,37.12,SIMULATED,49
S-008,Group B,54.04,25.28,9.44,32.97,45.03,SIMULATED,49
S-009,Group C,47.69,27.77,11.06,33.16,44.98,SIMULATED,49
S-010,Group A,47.09,29.13,10.47,30.41,39.71,SIMULATED,49
S-011,Group B,44.39,33.66,11.14,28.99,42.63,SIMULATED,49
S-012,Group C,43.91,31.74,11.31,32.96,46.24,SIMULATED,49
S-013,Group A,40.72,36.00,10.69,30.90,40.82,SIMULATED,49
S-014,Group B,44.82,33.80,10.79,32.25,41.35,SIMULATED,49
S-015,Group C,47.75,33.07,14.22,33.86,44.69,SIMULATED,49
S-016,Group A,43.66,31.65,11.96,31.81,37.03,SIMULATED,49
S-017,Group B,50.92,,14.14,35.41,42.53,SIMULATED,49
S-018,Group C,54.63,26.93,15.87,36.57,42.27,SIMULATED,49
S-019,Group A,54.21,27.53,15.01,,39.47,SIMULATED,49
S-020,Group B,60.18,21.92,19.46,42.74,36.83,SIMULATED,49
S-021,Group C,61.12,21.69,19.47,43.42,43.29,SIMULATED,49
S-022,Group A,56.78,24.86,15.93,38.35,34.92,SIMULATED,49
S-023,Group B,53.49,26.21,,38.17,41.12,SIMULATED,49
S-024,Group C,55.79,26.16,18.54,42.02,44.02,SIMULATED,49
S-025,Group A,51.19,28.41,15.71,36.24,39.20,SIMULATED,49
S-026,Group B,50.43,27.80,14.37,35.82,38.57,SIMULATED,49
S-027,Group C,45.35,29.23,14.85,33.17,39.61,SIMULATED,49
S-028,Group A,40.74,33.65,10.32,28.40,32.73,SIMULATED,49
S-029,Group B,44.27,33.41,13.52,32.63,38.01,SIMULATED,49
S-030,Group C,40.72,35.44,10.65,28.54,42.11,SIMULATED,49
S-031,Group A,39.88,32.42,7.05,25.23,36.42,SIMULATED,49
S-032,Group B,48.91,28.29,12.49,35.48,36.54,SIMULATED,49
S-033,Group C,51.62,28.73,13.52,34.83,40.93,SIMULATED,49
S-034,Group A,48.25,,7.70,30.94,36.83,SIMULATED,49
S-035,Group B,52.05,28.05,11.38,33.50,41.47,SIMULATED,49
S-036,Group C,56.00,23.14,10.52,33.91,40.48,SIMULATED,49
S-037,Group A,57.02,21.59,13.50,34.06,36.57,SIMULATED,49
S-038,Group B,60.52,20.36,15.31,,37.49,SIMULATED,49
S-039,Group C,59.75,20.26,16.97,39.46,43.14,SIMULATED,49
S-040,Group A,54.33,25.06,14.76,35.64,38.07,SIMULATED,49
S-041,Group B,54.57,26.32,14.97,37.41,43.15,SIMULATED,49
S-042,Group C,56.15,22.87,17.80,43.05,43.46,SIMULATED,49
S-043,Group A,49.04,32.53,17.08,37.62,41.50,SIMULATED,49
S-044,Group B,50.73,27.67,17.54,38.64,40.61,SIMULATED,49
S-045,Group C,47.92,32.93,17.17,35.70,48.67,SIMULATED,49
S-046,Group A,38.18,37.00,,29.36,39.01,SIMULATED,49
S-047,Group B,38.07,32.34,15.17,30.30,36.57,SIMULATED,49
S-048,Group C,47.38,31.77,15.16,34.68,44.38,SIMULATED,49
