row_id,row_label,row_order,module,module_label,module_order,row_annotation,source_type,source_seed
row_01,Item 01,1,module_1,Module 1,1,Descriptor A,simulated,54
row_02,Item 02,2,module_1,Module 1,1,Descriptor B,simulated,54
row_03,Item 03,3,module_1,Module 1,1,Descriptor C,simulated,54
row_04,Item 04,4,module_1,Module 1,1,Descriptor A,simulated,54
row_05,Item 05,5,module_1,Module 1,1,Descriptor B,simulated,54
row_06,Item 06,6,module_1,Module 1,1,Descriptor C,simulated,54
row_07,Item 07,7,module_2,Module 2,2,Descriptor A,simulated,54
row_08,Item 08,8,module_2,Module 2,2,Descriptor B,simulated,54
row_09,Item 09,9,module_2,Module 2,2,Descriptor C,simulated,54
row_10,Item 10,10,module_2,Module 2,2,Descriptor A,simulated,54
row_11,Item 11,11,module_2,Module 2,2,Descriptor B,simulated,54
row_12,Item 12,12,module_2,Module 2,2,Descriptor C,simulated,54
row_13,Item 13,13,module_3,Module 3,3,Descriptor A,simulated,54
row_14,Item 14,14,module_3,Module 3,3,Descriptor B,simulated,54
row_15,Item 15,15,module_3,Module 3,3,Descriptor C,simulated,54
row_16,Item 16,16,module_3,Module 3,3,Descriptor A,simulated,54
row_17,Item 17,17,module_3,Module 3,3,Descriptor B,simulated,54
row_18,Item 18,18,module_3,Module 3,3,Descriptor C,simulated,54
