row_id,column_id,value,value_scale,source_type,source_seed
row_01,column_01,0.433603,Simulated centered score,simulated,54
row_01,column_02,0.557665,Simulated centered score,simulated,54
row_01,column_03,0.669658,Simulated centered score,simulated,54
row_01,column_04,0.534478,Simulated centered score,simulated,54
row_01,column_05,-0.107019,Simulated centered score,simulated,54
row_01,column_06,-0.118323,Simulated centered score,simulated,54
row_01,column_07,-0.695353,Simulated centered score,simulated,54
row_01,column_08,-0.811834,Simulated centered score,simulated,54
row_01,column_09,-0.767554,Simulated centered score,simulated,54
row_01,column_10,-0.991561,Simulated centered score,simulated,54
row_02,column_01,1.038611,Simulated centered score,simulated,54
row_02,column_02,0.253670,Simulated centered score,simulated,54
row_02,column_03,0.492771,Simulated centered score,simulated,54
row_02,column_04,0.194970,Simulated centered score,simulated,54
row_02,column_05,0.008076,Simulated centered score,simulated,54
row_02,column_06,-0.243779,Simulated centered score,simulated,54
row_02,column_07,-0.791786,Simulated centered score,simulated,54
row_02,column_08,-0.569360,Simulated centered score,simulated,54
row_02,column_09,-1.066846,Simulated centered score,simulated,54
row_02,column_10,-0.777217,Simulated centered score,simulated,54
row_03,column_01,0.885680,Simulated centered score,simulated,54
row_03,column_02,0.547999,Simulated centered score,simulated,54
row_03,column_03,0.790552,Simulated centered score,simulated,54
row_03,column_04,0.434658,Simulated centered score,simulated,54
row_03,column_05,0.060969,Simulated centered score,simulated,54
row_03,column_06,-0.054605,Simulated centered score,simulated,54
row_03,column_07,-0.209146,Simulated centered score,simulated,54
row_03,column_08,-0.460349,Simulated centered score,simulated,54
row_03,column_09,-0.744537,Simulated centered score,simulated,54
row_03,column_10,-0.851184,Simulated centered score,simulated,54
row_04,column_01,0.706709,Simulated centered score,simulated,54
row_04,column_02,0.921392,Simulated centered score,simulated,54
row_04,column_03,0.694264,Simulated centered score,simulated,54
row_04,column_04,0.376878,Simulated centered score,simulated,54
row_04,column_05,0.074158,Simulated centered score,simulated,54
row_04,column_06,-0.274433,Simulated centered score,simulated,54
row_04,column_07,-0.517612,Simulated centered score,simulated,54
row_04,column_08,-0.549579,Simulated centered score,simulated,54
row_04,column_09,-0.875195,Simulated centered score,simulated,54
row_04,column_10,-0.911029,Simulated centered score,simulated,54
row_05,column_01,0.752767,Simulated centered score,simulated,54
row_05,column_02,0.705276,Simulated centered score,simulated,54
row_05,column_03,0.585538,Simulated centered score,simulated,54
row_05,column_04,0.677443,Simulated centered score,simulated,54
row_05,column_05,0.553560,Simulated centered score,simulated,54
