sample_id,group,axis1,axis2,data_status,simulation_seed
S-001,Group A,-2.0091,1.1384,SIMULATED,91
S-002,Group A,-1.8998,0.7678,SIMULATED,91
S-003,Group A,-1.1330,1.2890,SIMULATED,91
S-004,Group A,-1.8085,0.5973,SIMULATED,91
S-005,Group A,-1.4026,0.1334,SIMULATED,91
S-006,Group A,-1.2134,0.4863,SIMULATED,91
S-007,Group A,-1.6518,-0.0619,SIMULATED,91
S-008,Group A,-1.5889,0.5328,SIMULATED,91
S-009,Group A,-2.4237,-0.4135,SIMULATED,91
S-010,Group A,-0.7380,0.7254,SIMULATED,91
S-011,Group A,-1.0185,-0.0416,SIMULATED,91
S-012,Group A,-0.1955,1.2191,SIMULATED,91
S-013,Group A,-1.2921,0.0685,SIMULATED,91
S-014,Group A,-1.7551,1.1064,SIMULATED,91
S-015,Group A,-0.7599,0.5429,SIMULATED,91
S-016,Group A,-1.6964,-0.3968,SIMULATED,91
S-017,Group A,-0.5826,0.2107,SIMULATED,91
S-018,Group A,-1.0360,0.4140,SIMULATED,91
S-019,Group A,-0.8776,0.0512,SIMULATED,91
S-020,Group A,-0.6817,0.4281,SIMULATED,91
S-021,Group B,0.8333,0.6253,SIMULATED,91
S-022,Group B,1.0697,0.4017,SIMULATED,91
S-023,Group B,1.6675,1.2423,SIMULATED,91
S-024,Group B,2.5439,1.1670,SIMULATED,91
S-025,Group B,0.4638,1.0574,SIMULATED,91
S-026,Group B,1.3409,0.7505,SIMULATED,91
S-027,Group B,0.7242,0.6451,SIMULATED,91
S-028,Group B,0.8412,0.6316,SIMULATED,91
S-029,Group B,1.8402,1.6755,SIMULATED,91
S-030,Group B,1.3909,0.6787,SIMULATED,91
S-031,Group B,1.4406,0.9555,SIMULATED,91
S-032,Group B,1.0327,0.5025,SIMULATED,91
S-033,Group B,1.4254,0.6203,SIMULATED,91
S-034,Group B,1.6679,0.1436,SIMULATED,91
S-035,Group B,1.5065,0.0151,SIMULATED,91
S-036,Group B,0.9941,0.6126,SIMULATED,91
S-037,Group B,0.9148,0.8404,SIMULATED,91
S-038,Group B,1.0643,1.1518,SIMULATED,91
S-039,Group B,1.4212,1.4578,SIMULATED,91
S-040,Group B,1.2357,1.1405,SIMULATED,91
S-041,Group C,0.8108,-0.8804,SIMULATED,91
S-042,Group C,0.0582,-0.3654,SIMULATED,91
S-043,Group C,-0.9274,-0.8536,SIMULATED,91
S-044,Group C,-0.2843,-0.9683,SIMULATED,91
S-045,Group C,-0.0749,-1.1991,SIMULATED,91
S-046,Group C,-0.1174,-0.6555,SIMULATED,91
S-047,Group C,-0.4939,-1.1004,SIMULATED,91
S-048,Group C,-0.4590,-0.7500,SIMULATED,91
S-049,Group C,0.5166,-1.5673,SIMULATED,91
S-050,Group C,0.6138,-1.4152,SIMULATED,91
S-051,Group C,-1.4551,-1.0392,SIMULATED,91
S-052,Group C,-0.4718,-1.0703,SIMULATED,91
S-053,Group C,0.1899,-1.6089,SIMULATED,91
S-054,Group C,0.4348,-1.2589,SIMULATED,91
S-055,Group C,0.9519,-1.0399,SIMULATED,91
S-056,Group C,-0.3939,-0.7354,SIMULATED,91
S-057,Group C,-0.4291,-1.4146,SIMULATED,91
S-058,Group C,0.6779,-1.3505,SIMULATED,91
S-059,Group C,0.4933,-1.7251,SIMULATED,91
S-060,Group C,-0.2460,-0.5978,SIMULATED,91
