sample_id,x,y,fitted,residual,group,data_status,simulation_seed
S-001,-1.3511,-0.3005,-0.0984,-0.2021,Group A,SIMULATED,100
S-002,-0.7830,-0.1440,0.8845,-1.0285,Group B,SIMULATED,100
S-003,-0.3154,1.0403,1.5819,-0.5416,Group C,SIMULATED,100
S-004,-1.0401,0.3584,0.1659,0.1925,Group A,SIMULATED,100
S-005,-1.2003,1.1989,0.5298,0.6691,Group B,SIMULATED,100
S-006,-2.2544,0.8037,-0.0662,0.8699,Group C,SIMULATED,100
S-007,-1.5454,-0.8408,-0.2636,-0.5773,Group A,SIMULATED,100
S-008,1.9475,2.5039,3.2054,-0.7015,Group B,SIMULATED,100
S-009,1.5131,3.7635,3.1362,0.6273,Group C,SIMULATED,100
S-010,-1.0815,0.5787,0.1308,0.4479,Group A,SIMULATED,100
S-011,-2.3792,-0.6907,-0.4723,-0.2184,Group B,SIMULATED,100
S-012,-2.9034,-0.1602,-0.6179,0.4577,Group C,SIMULATED,100
S-013,-1.3983,0.2021,-0.1386,0.3407,Group A,SIMULATED,100
S-014,-1.7003,0.7916,0.1048,0.6868,Group B,SIMULATED,100
S-015,0.3230,1.5773,2.1245,-0.5472,Group C,SIMULATED,100
S-016,-2.5482,-1.4365,-1.1159,-0.3206,Group A,SIMULATED,100
S-017,-2.5146,-0.7674,-0.5874,-0.1800,Group B,SIMULATED,100
S-018,-2.1482,-0.1386,0.0241,-0.1626,Group C,SIMULATED,100
S-019,-1.1219,0.4853,0.0964,0.3889,Group A,SIMULATED,100
S-020,2.6145,4.4716,3.7723,0.6992,Group B,SIMULATED,100
S-021,2.1765,4.1117,3.7000,0.4117,Group C,SIMULATED,100
S-022,2.9386,3.7680,3.5478,0.2203,Group A,SIMULATED,100
S-023,2.7249,3.3756,3.8662,-0.4906,Group B,SIMULATED,100
S-024,-1.7211,-0.3432,0.3870,-0.7302,Group C,SIMULATED,100
S-025,0.3163,1.5907,1.3188,0.2718,Group A,SIMULATED,100
S-026,0.1847,1.9099,1.7070,0.2029,Group B,SIMULATED,100
S-027,1.1241,3.1820,2.8055,0.3765,Group C,SIMULATED,100
S-028,-0.6080,0.5113,0.5332,-0.0220,Group A,SIMULATED,100
S-029,-2.9533,-0.9067,-0.9603,0.0536,Group B,SIMULATED,100
S-030,-1.4002,0.7769,0.6599,0.1170,Group C,SIMULATED,100
S-031,1.1457,1.6325,2.0238,-0.3913,Group A,SIMULATED,100
S-032,-1.9070,-0.2675,-0.0709,-0.1965,Group B,SIMULATED,100
S-033,-0.0034,1.7750,1.8471,-0.0721,Group C,SIMULATED,100
S-034,1.8718,1.4137,2.6411,-1.2273,Group A,SIMULATED,100
S-035,0.9750,1.7295,2.3787,-0.6493,Group B,SIMULATED,100
S-036,-2.9125,-1.7952,-0.6256,-1.1696,Group C,SIMULATED,100
S-037,-0.8351,1.1372,0.3402,0.7971,Group A,SIMULATED,100
S-038,-2.7633,-1.2541,-0.7988,-0.4553,Group B,SIMULATED,100
S-039,0.0678,2.1795,1.9077,0.2718,Group C,SIMULATED,100
S-040,-1.3859,-0.1568,-0.1280,-0.0288,Group A,SIMULATED,100
S-041,-1.0191,0.4329,0.6837,-0.2508,Group B,SIMULATED,100
S-042,-0.1693,2.7357,1.7061,1.0295,Group C,SIMULATED,100
S-043,-0.8130,1.3017,0.3590,0.9427,Group A,SIMULATED,100
S-044,0.6591,1.7820,2.1102,-0.3282,Group B,SIMULATED,100
S-045,-0.6760,1.8306,1.2754,0.5551,Group C,SIMULATED,100
S-046,0.9313,1.4937,1.8416,-0.3479,Group A,SIMULATED,100
S-047,-1.1496,1.4573,0.5729,0.8844,Group B,SIMULATED,100
S-048,-0.4253,1.2779,1.4885,-0.2106,Group C,SIMULATED,100
S-049,-2.2159,-0.6904,-0.8335,0.1431,Group A,SIMULATED,100
S-050,-0.0075,1.4860,1.5436,-0.0576,Group B,SIMULATED,100
S-051,0.2229,2.1603,2.0395,0.1208,Group C,SIMULATED,100
S-052,-0.2409,0.5887,0.8452,-0.2565,Group A,SIMULATED,100
S-053,2.9423,4.2570,4.0509,0.2061,Group B,SIMULATED,100
S-054,1.8825,3.6780,3.4501,0.2279,Group C,SIMULATED,100
S-055,1.9826,3.9314,2.7352,1.1961,Group A,SIMULATED,100
S-056,2.5519,4.2016,3.7191,0.4825,Group B,SIMULATED,100
S-057,1.9552,3.6182,3.5120,0.1063,Group C,SIMULATED,100
S-058,0.2274,1.3525,1.2433,0.1092,Group A,SIMULATED,100
S-059,0.1932,1.9934,1.7142,0.2792,Group B,SIMULATED,100
S-060,2.0036,4.1112,3.5531,0.5582,Group C,SIMULATED,100
S-061,1.2234,2.1417,2.0899,0.0518,Group A,SIMULATED,100
S-062,-0.7302,-0.0686,0.9293,-0.9979,Group B,SIMULATED,100
S-063,-0.2871,1.7882,1.6060,0.1822,Group C,SIMULATED,100
S-064,-1.3257,-0.2181,-0.0769,-0.1412,Group A,SIMULATED,100
S-065,2.4242,4.6846,3.6105,1.0741,Group B,SIMULATED,100
S-066,2.1461,2.4037,3.6742,-1.2705,Group C,SIMULATED,100
S-067,-0.8275,-0.2054,0.3467,-0.5520,Group A,SIMULATED,100
S-068,2.1170,4.3900,3.3495,1.0405,Group B,SIMULATED,100
S-069,-0.3082,1.2701,1.5880,-0.3179,Group C,SIMULATED,100
S-070,2.9912,3.1195,3.5925,-0.4730,Group A,SIMULATED,100
S-071,-2.9474,-0.4104,-0.9553,0.5448,Group B,SIMULATED,100
S-072,0.2043,2.0945,2.0236,0.0708,Group C,SIMULATED,100
