id,facet,group,value,source_type,source_seed
F1-GA-001,Facet 1,Group A,0.305905,simulated,104
F1-GA-002,Facet 1,Group A,0.304180,simulated,104
F1-GA-003,Facet 1,Group A,-0.760211,simulated,104
F1-GA-004,Facet 1,Group A,-0.208834,simulated,104
F1-GA-005,Facet 1,Group A,-0.199516,simulated,104
F1-GA-006,Facet 1,Group A,-0.148315,simulated,104
F1-GA-007,Facet 1,Group A,1.764462,simulated,104
F1-GA-008,Facet 1,Group A,-0.455462,simulated,104
F1-GA-009,Facet 1,Group A,-0.462657,simulated,104
F1-GA-010,Facet 1,Group A,-0.612278,simulated,104
F1-GA-011,Facet 1,Group A,0.732408,simulated,104
F1-GA-012,Facet 1,Group A,-0.571570,simulated,104
F1-GA-013,Facet 1,Group A,-0.279415,simulated,104
F1-GA-014,Facet 1,Group A,0.592511,simulated,104
F1-GA-015,Facet 1,Group A,0.485265,simulated,104
F1-GA-016,Facet 1,Group A,-1.077081,simulated,104
F1-GA-017,Facet 1,Group A,1.433446,simulated,104
F1-GA-018,Facet 1,Group A,0.049721,simulated,104
F1-GA-019,Facet 1,Group A,0.655749,simulated,104
F1-GA-020,Facet 1,Group A,0.097895,simulated,104
F1-GA-021,Facet 1,Group A,1.344201,simulated,104
F1-GA-022,Facet 1,Group A,-0.512765,simulated,104
F1-GA-023,Facet 1,Group A,-0.759918,simulated,104
F1-GA-024,Facet 1,Group A,0.171833,simulated,104
F1-GA-025,Facet 1,Group A,1.051825,simulated,104
F1-GA-026,Facet 1,Group A,-0.207830,simulated,104
F1-GA-027,Facet 1,Group A,0.620699,simulated,104
F1-GA-028,Facet 1,Group A,1.215886,simulated,104
F1-GA-029,Facet 1,Group A,-1.463488,simulated,104
F1-GA-030,Facet 1,Group A,1.056647,simulated,104
F1-GA-031,Facet 1,Group A,0.842155,simulated,104
F1-GA-032,Facet 1,Group A,-0.624995,simulated,104
F1-GB-001,Facet 1,Group B,0.478779,simulated,104
F1-GB-002,Facet 1,Group B,0.228906,simulated,104
F1-GB-003,Facet 1,Group B,1.008296,simulated,104
F1-GB-004,Facet 1,Group B,0.139163,simulated,104
F1-GB-005,Facet 1,Group B,0.900948,simulated,104
F1-GB-006,Facet 1,Group B,1.349253,simulated,104
F1-GB-007,Facet 1,Group B,-0.539627,simulated,104
F1-GB-008,Facet 1,Group B,0.773510,simulated,104
F1-GB-009,Facet 1,Group B,0.469835,simulated,104
F1-GB-010,Facet 1,Group B,0.216925,simulated,104
F1-GB-011,Facet 1,Group B,0.780990,simulated,104
F1-GB-012,Facet 1,Group B,0.436909,simulated,104
F1-GB-013,Facet 1,Group B,-0.418764,simulated,104
F1-GB-014,Facet 1,Group B,0.149781,simulated,104
F1-GB-015,Facet 1,Group B,0.496860,simulated,104
F1-GB-016,Facet 1,Group B,0.059193,simulated,104
F1-GB-017,Facet 1,Group B,-0.298741,simulated,104
F1-GB-018,Facet 1,Group B,1.994584,simulated,104
F1-GB-019,Facet 1,Group B,1.380023,simulated,104
F1-GB-020,Facet 1,Group B,1.290650,simulated,104
F1-GB-021,Facet 1,Group B,0.574503,simulated,104
F1-GB-022,Facet 1,Group B,-0.738531,simulated,104
F1-GB-023,Facet 1,Group B,0.334971,simulated,104
F1-GB-024,Facet 1,Group B,0.828567,simulated,104
F1-GB-025,Facet 1,Group B,0.233674,simulated,104
F1-GB-026,Facet 1,Group B,0.151396,simulated,104
F1-GB-027,Facet 1,Group B,0.714474,simulated,104
F1-GB-028,Facet 1,Group B,1.789505,simulated,104
F1-GC-001,Facet 1,Group C,-0.582834,simulated,104
F1-GC-002,Facet 1,Group C,-0.643851,simulated,104
F1-GC-003,Facet 1,Group C,-0.940316,simulated,104
F1-GC-004,Facet 1,Group C,-0.146701,simulated,104
F1-GC-005,Facet 1,Group C,-0.555693,simulated,104
F1-GC-006,Facet 1,Group C,-0.683482,simulated,104
F1-GC-007,Facet 1,Group C,-0.770986,simulated,104
F1-GC-008,Facet 1,Group C,-0.863047,simulated,104
F1-GC-009,Facet 1,Group C,-0.571605,simulated,104
F1-GC-010,Facet 1,Group C,0.074850,simulated,104
F1-GC-011,Facet 1,Group C,-0.619326,simulated,104
F1-GC-012,Facet 1,Group C,-0.449467,simulated,104
F1-GC-013,Facet 1,Group C,-0.904289,simulated,104
F1-GC-014,Facet 1,Group C,-0.526243,simulated,104
F1-GC-015,Facet 1,Group C,-1.137431,simulated,104
F1-GC-016,Facet 1,Group C,-0.125228,simulated,104
F1-GC-017,Facet 1,Group C,-0.815710,simulated,104
F1-GC-018,Facet 1,Group C,-0.450966,simulated,104
F1-GC-019,Facet 1,Group C,1.137097,simulated,104
F1-GC-020,Facet 1,Group C,1.660329,simulated,104
F1-GC-021,Facet 1,Group C,1.324878,simulated,104
F1-GC-022,Facet 1,Group C,1.342356,simulated,104
F1-GC-023,Facet 1,Group C,0.442701,simulated,104
F1-GC-024,Facet 1,Group C,0.642441,simulated,104
F1-GC-025,Facet 1,Group C,0.628809,simulated,104
F1-GC-026,Facet 1,Group C,0.651511,simulated,104
F1-GC-027,Facet 1,Group C,0.693510,simulated,104
F1-GC-028,Facet 1,Group C,1.393305,simulated,104
F1-GC-029,Facet 1,Group C,1.003962,simulated,104
F1-GC-030,Facet 1,Group C,1.029650,simulated,104
F1-GC-031,Facet 1,Group C,0.651452,simulated,104
F1-GC-032,Facet 1,Group C,0.643758,simulated,104
F1-GC-033,Facet 1,Group C,0.473075,simulated,104
F1-GC-034,Facet 1,Group C,1.442819,simulated,104
F1-GC-035,Facet 1,Group C,1.056863,simulated,104
F1-GC-036,Facet 1,Group C,1.298256,simulated,104
F1-GD-001,Facet 1,Group D,0.256767,simulated,104
F1-GD-002,Facet 1,Group D,-0.033821,simulated,104
F1-GD-003,Facet 1,Group D,0.773012,simulated,104
F1-GD-004,Facet 1,Group D,0.229971,simulated,104
F1-GD-005,Facet 1,Group D,0.648493,simulated,104
F1-GD-006,Facet 1,Group D,0.044071,simulated,104
F1-GD-007,Facet 1,Group D,-0.192566,simulated,104
F1-GD-008,Facet 1,Group D,1.018053,simulated,104
F1-GD-009,Facet 1,Group D,-0.857720,simulated,104
F1-GD-010,Facet 1,Group D,-0.211557,simulated,104
F1-GD-011,Facet 1,Group D,0.611697,simulated,104
F1-GD-012,Facet 1,Group D,-0.563031,simulated,104
F1-GD-013,Facet 1,Group D,1.460300,simulated,104
F1-GD-014,Facet 1,Group D,-0.343337,simulated,104
F1-GD-015,Facet 1,Group D,-0.572914,simulated,104
F1-GD-016,Facet 1,Group D,0.866605,simulated,104
F1-GD-017,Facet 1,Group D,-0.467393,simulated,104
F1-GD-018,Facet 1,Group D,0.147241,simulated,104
F1-GD-019,Facet 1,Group D,1.915340,simulated,104
F1-GD-020,Facet 1,Group D,-0.935360,simulated,104
F1-GD-021,Facet 1,Group D,0.120386,simulated,104
F1-GD-022,Facet 1,Group D,1.063576,simulated,104
F1-GD-023,Facet 1,Group D,1.042602,simulated,104
F1-GD-024,Facet 1,Group D,0.584836,simulated,104
F2-GA-001,Facet 2,Group A,0.823614,simulated,104
F2-GA-002,Facet 2,Group A,0.467115,simulated,104
F2-GA-003,Facet 2,Group A,-1.096931,simulated,104
F2-GA-004,Facet 2,Group A,-1.346308,simulated,104
F2-GA-005,Facet 2,Group A,-1.268580,simulated,104
F2-GA-006,Facet 2,Group A,-0.722183,simulated,104
F2-GA-007,Facet 2,Group A,0.798771,simulated,104
F2-GA-008,Facet 2,Group A,-0.013797,simulated,104
F2-GA-009,Facet 2,Group A,-0.582666,simulated,104
F2-GA-010,Facet 2,Group A,-0.136255,simulated,104
F2-GA-011,Facet 2,Group A,1.544149,simulated,104
F2-GA-012,Facet 2,Group A,-0.167938,simulated,104
F2-GA-013,Facet 2,Group A,-0.736744,simulated,104
F2-GA-014,Facet 2,Group A,2.558918,simulated,104
F2-GA-015,Facet 2,Group A,-0.764309,simulated,104
F2-GA-016,Facet 2,Group A,0.683500,simulated,104
F2-GA-017,Facet 2,Group A,1.124279,simulated,104
F2-GA-018,Facet 2,Group A,0.320214,simulated,104
F2-GA-019,Facet 2,Group A,-0.093154,simulated,104
