feature,effect,significance,significance_class,data_status,simulation_seed
Feature 001,0.03062,0.0463585,Supplied other,SIMULATED,107
Feature 002,1.38517,0.0156499,Supplied class A,SIMULATED,107
Feature 003,-0.89731,0.154024,Supplied other,SIMULATED,107
Feature 004,0.09895,0.0386654,Supplied other,SIMULATED,107
Feature 005,0.02167,0.145612,Supplied other,SIMULATED,107
Feature 006,-0.79637,0.0324306,Supplied other,SIMULATED,107
Feature 007,0.70974,0.12055,Supplied other,SIMULATED,107
Feature 008,-0.47083,0.251471,Supplied other,SIMULATED,107
Feature 009,-2.00426,0.00492433,Supplied class B,SIMULATED,107
Feature 010,-1.26788,0.0879882,Supplied other,SIMULATED,107
Feature 011,-0.29077,0.356291,Supplied other,SIMULATED,107
Feature 012,0.30160,0.129738,Supplied other,SIMULATED,107
Feature 013,0.47589,0.211163,Supplied other,SIMULATED,107
Feature 014,0.68498,0.0902776,Supplied other,SIMULATED,107
Feature 015,0.47435,0.0699432,Supplied other,SIMULATED,107
Feature 016,-0.60584,0.108677,Supplied other,SIMULATED,107
Feature 017,-0.22799,0.0615555,Supplied other,SIMULATED,107
Feature 018,0.85421,0.0199183,Supplied other,SIMULATED,107
Feature 019,-0.24274,0.0700379,Supplied other,SIMULATED,107
Feature 020,-2.18761,0.0137993,Supplied class B,SIMULATED,107
Feature 021,0.13748,0.117155,Supplied other,SIMULATED,107
Feature 022,1.35104,0.0112612,Supplied class A,SIMULATED,107
Feature 023,1.56081,0.00464135,Supplied class A,SIMULATED,107
Feature 024,-1.04335,0.0248512,Supplied class B,SIMULATED,107
Feature 025,-0.77431,0.0631931,Supplied other,SIMULATED,107
Feature 026,-1.71502,0.00627768,Supplied class B,SIMULATED,107
Feature 027,0.89136,0.0841032,Supplied other,SIMULATED,107
Feature 028,-0.88812,0.0754008,Supplied other,SIMULATED,107
Feature 029,-1.03190,0.0432199,Supplied class B,SIMULATED,107
Feature 030,-0.88096,0.0743508,Supplied other,SIMULATED,107
Feature 031,-0.11793,0.0452733,Supplied other,SIMULATED,107
Feature 032,-1.59106,0.0046247,Supplied class B,SIMULATED,107
Feature 033,1.05824,0.0197811,Supplied class A,SIMULATED,107
Feature 034,0.09013,0.156515,Supplied other,SIMULATED,107
Feature 035,-0.59725,0.115023,Supplied other,SIMULATED,107
Feature 036,-0.54619,0.0299102,Supplied other,SIMULATED,107
Feature 037,-1.03530,0.0121234,Supplied class B,SIMULATED,107
Feature 038,-1.89109,0.00333986,Supplied class B,SIMULATED,107
Feature 039,1.54523,0.00600999,Supplied class A,SIMULATED,107
Feature 040,-1.75124,0.00400835,Supplied class B,SIMULATED,107
Feature 041,-0.92095,0.0591024,Supplied other,SIMULATED,107
Feature 042,0.55412,0.0391857,Supplied other,SIMULATED,107
Feature 043,1.55223,0.0241743,Supplied class A,SIMULATED,107
Feature 044,-0.21609,0.504956,Supplied other,SIMULATED,107
Feature 045,0.26371,0.383857,Supplied other,SIMULATED,107
Feature 046,0.28724,0.57911,Supplied other,SIMULATED,107
Feature 047,-0.71994,0.0176948,Supplied other,SIMULATED,107
Feature 048,0.53201,0.253573,Supplied other,SIMULATED,107
Feature 049,1.87654,0.00340355,Supplied class A,SIMULATED,107
Feature 050,1.23486,0.0303028,Supplied class A,SIMULATED,107
Feature 051,-0.92472,0.0680696,Supplied other,SIMULATED,107
Feature 052,-0.23148,0.270848,Supplied other,SIMULATED,107
Feature 053,2.30616,0.00210563,Supplied class A,SIMULATED,107
Feature 054,1.72038,0.00512821,Supplied class A,SIMULATED,107
Feature 055,0.89304,0.195264,Supplied other,SIMULATED,107
Feature 056,1.19848,0.0174301,Supplied class A,SIMULATED,107
Feature 057,1.30235,0.0788329,Supplied other,SIMULATED,107
Feature 058,0.61203,0.0190441,Supplied other,SIMULATED,107
Feature 059,0.94262,0.013859,Supplied other,SIMULATED,107
Feature 060,-0.57737,0.0361541,Supplied other,SIMULATED,107
Feature 061,0.91294,0.0164173,Supplied other,SIMULATED,107
Feature 062,1.86958,0.0253625,Supplied class A,SIMULATED,107
Feature 063,-0.43432,0.429724,Supplied other,SIMULATED,107
Feature 064,-0.78339,0.0698585,Supplied other,SIMULATED,107
Feature 065,1.27335,0.0162809,Supplied class A,SIMULATED,107
Feature 066,1.45375,0.0492818,Supplied class A,SIMULATED,107
Feature 067,-0.31723,0.190294,Supplied other,SIMULATED,107
Feature 068,0.22006,0.105957,Supplied other,SIMULATED,107
Feature 069,1.34852,0.0184111,Supplied class A,SIMULATED,107
Feature 070,-2.43995,0.00611858,Supplied class B,SIMULATED,107
Feature 071,0.98795,0.0179042,Supplied other,SIMULATED,107
Feature 072,-0.97609,0.0713539,Supplied other,SIMULATED,107
Feature 073,0.52997,0.123507,Supplied other,SIMULATED,107
Feature 074,-0.44291,0.231807,Supplied other,SIMULATED,107
Feature 075,-1.03545,0.0115214,Supplied class B,SIMULATED,107
Feature 076,1.02147,0.171745,Supplied other,SIMULATED,107
Feature 077,-0.64065,0.0293014,Supplied other,SIMULATED,107
Feature 078,-0.36445,0.0559512,Supplied other,SIMULATED,107
Feature 079,2.66535,0.00237128,Supplied class A,SIMULATED,107
Feature 080,-0.53244,0.184723,Supplied other,SIMULATED,107
Feature 081,-0.22753,0.286164,Supplied other,SIMULATED,107
Feature 082,-1.13573,0.117825,Supplied other,SIMULATED,107
Feature 083,0.88354,0.156073,Supplied other,SIMULATED,107
Feature 084,-0.69443,0.162836,Supplied other,SIMULATED,107
Feature 085,0.23418,0.0669559,Supplied other,SIMULATED,107
Feature 086,0.26807,0.146825,Supplied other,SIMULATED,107
Feature 087,-0.29446,0.252502,Supplied other,SIMULATED,107
Feature 088,0.88644,0.0513103,Supplied other,SIMULATED,107
Feature 089,-0.36697,0.147871,Supplied other,SIMULATED,107
Feature 090,-0.16502,0.0501179,Supplied other,SIMULATED,107
Feature 091,-0.28719,0.175525,Supplied other,SIMULATED,107
Feature 092,-1.22665,0.0540668,Supplied other,SIMULATED,107
Feature 093,0.53450,0.281375,Supplied other,SIMULATED,107
Feature 094,0.71455,0.275549,Supplied other,SIMULATED,107
Feature 095,2.32188,0.00157036,Supplied class A,SIMULATED,107
Feature 096,2.18702,0.0296345,Supplied class A,SIMULATED,107
Feature 097,-0.31257,0.195839,Supplied other,SIMULATED,107
Feature 098,0.41293,0.0779043,Supplied other,SIMULATED,107
Feature 099,0.06836,0.474657,Supplied other,SIMULATED,107
Feature 100,1.13810,0.0348087,Supplied class A,SIMULATED,107
Feature 101,0.54385,0.114551,Supplied other,SIMULATED,107
Feature 102,0.74429,0.128413,Supplied other,SIMULATED,107
Feature 103,-1.82202,0.0158943,Supplied class B,SIMULATED,107
Feature 104,0.11454,0.0592448,Supplied other,SIMULATED,107
Feature 105,0.80836,0.0222547,Supplied other,SIMULATED,107
Feature 106,1.44307,0.00595298,Supplied class A,SIMULATED,107
Feature 107,-0.33635,0.0681739,Supplied other,SIMULATED,107
Feature 108,-0.84719,0.0380699,Supplied other,SIMULATED,107
Feature 109,-1.14587,0.139789,Supplied other,SIMULATED,107
Feature 110,0.84237,0.246135,Supplied other,SIMULATED,107
Feature 111,0.96128,0.198956,Supplied other,SIMULATED,107
Feature 112,2.14410,0.0166938,Supplied class A,SIMULATED,107
Feature 113,0.21284,0.186384,Supplied other,SIMULATED,107
Feature 114,-2.15681,0.00773954,Supplied class B,SIMULATED,107
Feature 115,0.72214,0.220731,Supplied other,SIMULATED,107
Feature 116,-0.47578,0.191381,Supplied other,SIMULATED,107
Feature 117,-0.15229,0.126804,Supplied other,SIMULATED,107
Feature 118,-0.92384,0.179268,Supplied other,SIMULATED,107
Feature 119,1.24261,0.00937602,Supplied class A,SIMULATED,107
Feature 120,-2.37017,0.0161084,Supplied class B,SIMULATED,107
