curve_id,rank,data_status,simulation_seed
Collection A,4,SIMULATED,107
Collection A,9,SIMULATED,107
Collection A,14,SIMULATED,107
Collection A,19,SIMULATED,107
Collection A,23,SIMULATED,107
Collection A,30,SIMULATED,107
Collection A,31,SIMULATED,107
Collection A,45,SIMULATED,107
Collection A,50,SIMULATED,107
Collection A,56,SIMULATED,107
Collection A,66,SIMULATED,107
Collection A,69,SIMULATED,107
Collection A,87,SIMULATED,107
Collection A,94,SIMULATED,107
Collection B,4,SIMULATED,107
Collection B,16,SIMULATED,107
Collection B,23,SIMULATED,107
Collection B,25,SIMULATED,107
Collection B,26,SIMULATED,107
Collection B,39,SIMULATED,107
Collection B,41,SIMULATED,107
Collection B,46,SIMULATED,107
Collection B,47,SIMULATED,107
Collection B,62,SIMULATED,107
Collection B,82,SIMULATED,107
Collection B,85,SIMULATED,107
Collection B,91,SIMULATED,107
Collection B,96,SIMULATED,107
