curve_id,rank,running_score,data_status,simulation_seed
Collection A,1,0.000000,SIMULATED,107
Collection A,2,0.011274,SIMULATED,107
Collection A,3,0.022469,SIMULATED,107
Collection A,4,0.033574,SIMULATED,107
Collection A,5,0.044579,SIMULATED,107
Collection A,6,0.055472,SIMULATED,107
Collection A,7,0.066243,SIMULATED,107
Collection A,8,0.076882,SIMULATED,107
Collection A,9,0.087380,SIMULATED,107
Collection A,10,0.097725,SIMULATED,107
Collection A,11,0.107909,SIMULATED,107
Collection A,12,0.117921,SIMULATED,107
Collection A,13,0.127754,SIMULATED,107
Collection A,14,0.137397,SIMULATED,107
Collection A,15,0.146843,SIMULATED,107
Collection A,16,0.156082,SIMULATED,107
Collection A,17,0.165107,SIMULATED,107
Collection A,18,0.173909,SIMULATED,107
Collection A,19,0.182481,SIMULATED,107
Collection A,20,0.190816,SIMULATED,107
Collection A,21,0.198907,SIMULATED,107
Collection A,22,0.206746,SIMULATED,107
Collection A,23,0.214327,SIMULATED,107
Collection A,24,0.221645,SIMULATED,107
Collection A,25,0.228693,SIMULATED,107
Collection A,26,0.235467,SIMULATED,107
Collection A,27,0.241959,SIMULATED,107
Collection A,28,0.248167,SIMULATED,107
Collection A,29,0.254084,SIMULATED,107
Collection A,30,0.259708,SIMULATED,107
Collection A,31,0.265034,SIMULATED,107
Collection A,32,0.270058,SIMULATED,107
Collection A,33,0.274778,SIMULATED,107
Collection A,34,0.279190,SIMULATED,107
Collection A,35,0.283292,SIMULATED,107
Collection A,36,0.287082,SIMULATED,107
Collection A,37,0.290558,SIMULATED,107
Collection A,38,0.293718,SIMULATED,107
Collection A,39,0.296562,SIMULATED,107
Collection A,40,0.299087,SIMULATED,107
Collection A,41,0.301295,SIMULATED,107
Collection A,42,0.303184,SIMULATED,107
Collection A,43,0.304755,SIMULATED,107
Collection A,44,0.306008,SIMULATED,107
Collection A,45,0.306945,SIMULATED,107
Collection A,46,0.307566,SIMULATED,107
Collection A,47,0.307873,SIMULATED,107
Collection A,48,0.307868,SIMULATED,107
Collection A,49,0.307552,SIMULATED,107
Collection A,50,0.306928,SIMULATED,107
Collection A,51,0.306000,SIMULATED,107
Collection A,52,0.304770,SIMULATED,107
Collection A,53,0.303240,SIMULATED,107
Collection A,54,0.301416,SIMULATED,107
