source_type,source_seed,stage_1,stage_2,stage_3,stage_4,weight
simulated,20260824,Cohort A,Route 1,State high,Continue,18
simulated,20260824,Cohort A,Route 1,State high,Switch,5
simulated,20260824,Cohort A,Route 1,State middle,Continue,9
simulated,20260824,Cohort A,Route 1,State middle,Switch,7
simulated,20260824,Cohort A,Route 2,State high,Continue,6
simulated,20260824,Cohort A,Route 2,State middle,Switch,8
simulated,20260824,Cohort A,Route 2,State low,Exit,5
simulated,20260824,Cohort B,Route 1,State high,Continue,8
simulated,20260824,Cohort B,Route 1,State middle,Continue,10
simulated,20260824,Cohort B,Route 1,State low,Switch,6
simulated,20260824,Cohort B,Route 2,State middle,Continue,7
simulated,20260824,Cohort B,Route 2,State middle,Switch,11
simulated,20260824,Cohort B,Route 2,State low,Exit,9
simulated,20260824,Cohort C,Route 1,State high,Continue,4
simulated,20260824,Cohort C,Route 1,State middle,Switch,8
simulated,20260824,Cohort C,Route 2,State middle,Continue,6
simulated,20260824,Cohort C,Route 2,State low,Switch,7
simulated,20260824,Cohort C,Route 3,State low,Exit,12
