location_id,label,x,y,component,value,location_order,source_type,source_seed
loc01,Site 1,1.1,1.2,Type A,18,1,simulated,122
loc01,Site 1,1.1,1.2,Type B,9,1,simulated,122
loc01,Site 1,1.1,1.2,Type C,6,1,simulated,122
loc02,Site 2,2.2,2.1,Type A,12,2,simulated,122
loc02,Site 2,2.2,2.1,Type B,14,2,simulated,122
loc02,Site 2,2.2,2.1,Type C,5,2,simulated,122
loc03,Site 3,3.3,3.3,Type A,8,3,simulated,122
loc03,Site 3,3.3,3.3,Type B,15,3,simulated,122
loc03,Site 3,3.3,3.3,Type C,11,3,simulated,122
loc04,Site 4,3.8,1.1,Type A,10,4,simulated,122
loc04,Site 4,3.8,1.1,Type B,6,4,simulated,122
loc04,Site 4,3.8,1.1,Type C,13,4,simulated,122
loc05,Site 5,5.4,1.4,Type A,7,5,simulated,122
loc05,Site 5,5.4,1.4,Type B,12,5,simulated,122
loc05,Site 5,5.4,1.4,Type C,18,5,simulated,122
loc06,Site 6,6.2,2.7,Type A,9,6,simulated,122
loc06,Site 6,6.2,2.7,Type B,18,6,simulated,122
loc06,Site 6,6.2,2.7,Type C,8,6,simulated,122
loc07,Site 7,7.5,1.6,Type A,15,7,simulated,122
loc07,Site 7,7.5,1.6,Type B,7,7,simulated,122
loc07,Site 7,7.5,1.6,Type C,9,7,simulated,122
loc08,Site 8,8.1,3.5,Type A,20,8,simulated,122
loc08,Site 8,8.1,3.5,Type B,10,8,simulated,122
loc08,Site 8,8.1,3.5,Type C,7,8,simulated,122
loc09,Site 9,6.6,4.0,Type A,11,9,simulated,122
loc09,Site 9,6.6,4.0,Type B,13,9,simulated,122
loc09,Site 9,6.6,4.0,Type C,15,9,simulated,122
