facet,group,exposure,effect,ci_lower,ci_upper,reference_exposure,reference_effect,exposure_label,effect_measure,effect_scale,interval_level,interval_type,source_type,source_seed
Scenario A,Group 1,-3.0,1.05289265,0.81624818,1.35814445,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-2.8,1.01837107,0.79115377,1.31084459,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-2.6,0.99002112,0.77309637,1.26781325,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-2.4,0.96719918,0.76373243,1.22487172,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-2.2,0.94937339,0.74690127,1.20673223,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-2.0,0.93610482,0.73993182,1.18428779,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-1.8,0.92703218,0.74025131,1.16094175,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-1.6,0.92185933,0.73979312,1.14873281,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-1.4,0.92034496,0.74095939,1.14315961,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-1.2,0.92229398,0.74733582,1.13821143,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-1.0,0.92755030,0.76142243,1.12992412,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-0.8,0.93599074,0.76764239,1.14125885,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-0.6,0.94751966,0.78620529,1.14193267,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-0.4,0.96206435,0.79921930,1.15808990,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,-0.2,0.97957082,0.81464151,1.17789111,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,0.0,1.00000000,0.84335716,1.18573726,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
Scenario A,Group 1,0.2,1.02332414,0.86010646,1.21751475,0,1,Simulated exposure (a.u.),Simulated effect ratio,ratio,0.95,confidence,simulated,133
