item,set,data_status,simulation_seed
Item 001,set_a,SIMULATED,157
Item 002,set_b,SIMULATED,157
Item 003,set_c,SIMULATED,157
Item 004,set_d,SIMULATED,157
Item 005,set_e,SIMULATED,157
Item 006,set_f,SIMULATED,157
Item 007,set_g,SIMULATED,157
Item 008,set_a,SIMULATED,157
Item 008,set_b,SIMULATED,157
Item 009,set_a,SIMULATED,157
Item 009,set_c,SIMULATED,157
Item 010,set_b,SIMULATED,157
Item 010,set_c,SIMULATED,157
Item 010,set_d,SIMULATED,157
Item 011,set_d,SIMULATED,157
Item 011,set_e,SIMULATED,157
Item 012,set_e,SIMULATED,157
Item 012,set_f,SIMULATED,157
Item 013,set_a,SIMULATED,157
Item 013,set_b,SIMULATED,157
Item 013,set_e,SIMULATED,157
Item 014,set_c,SIMULATED,157
Item 014,set_e,SIMULATED,157
Item 014,set_g,SIMULATED,157
Item 015,set_a,SIMULATED,157
Item 015,set_c,SIMULATED,157
Item 015,set_f,SIMULATED,157
Item 016,set_a,SIMULATED,157
Item 016,set_b,SIMULATED,157
Item 016,set_c,SIMULATED,157
Item 016,set_d,SIMULATED,157
Item 016,set_g,SIMULATED,157
Item 017,set_b,SIMULATED,157
Item 017,set_c,SIMULATED,157
Item 017,set_d,SIMULATED,157
Item 018,set_c,SIMULATED,157
Item 019,set_a,SIMULATED,157
Item 020,set_f,SIMULATED,157
Item 021,set_d,SIMULATED,157
Item 022,set_e,SIMULATED,157
Item 022,set_f,SIMULATED,157
Item 023,set_b,SIMULATED,157
Item 024,set_c,SIMULATED,157
Item 025,set_b,SIMULATED,157
Item 026,set_b,SIMULATED,157
Item 027,set_d,SIMULATED,157
Item 027,set_e,SIMULATED,157
Item 028,set_a,SIMULATED,157
Item 028,set_b,SIMULATED,157
Item 028,set_e,SIMULATED,157
Item 029,set_g,SIMULATED,157
Item 030,set_f,SIMULATED,157
Item 031,set_e,SIMULATED,157
Item 032,set_d,SIMULATED,157
Item 032,set_e,SIMULATED,157
Item 033,set_b,SIMULATED,157
Item 034,set_a,SIMULATED,157
Item 034,set_b,SIMULATED,157
Item 035,set_c,SIMULATED,157
Item 036,set_a,SIMULATED,157
Item 036,set_b,SIMULATED,157
Item 036,set_e,SIMULATED,157
Item 037,set_b,SIMULATED,157
Item 037,set_c,SIMULATED,157
Item 037,set_d,SIMULATED,157
Item 038,set_d,SIMULATED,157
Item 038,set_e,SIMULATED,157
Item 039,set_e,SIMULATED,157
Item 040,set_e,SIMULATED,157
Item 041,set_c,SIMULATED,157
Item 041,set_e,SIMULATED,157
Item 041,set_g,SIMULATED,157
Item 042,set_a,SIMULATED,157
Item 042,set_c,SIMULATED,157
Item 043,set_a,SIMULATED,157
Item 043,set_c,SIMULATED,157
Item 044,set_d,SIMULATED,157
Item 045,set_a,SIMULATED,157
Item 045,set_b,SIMULATED,157
Item 045,set_e,SIMULATED,157
Item 046,set_a,SIMULATED,157
Item 046,set_b,SIMULATED,157
Item 046,set_e,SIMULATED,157
Item 047,set_a,SIMULATED,157
Item 047,set_b,SIMULATED,157
Item 047,set_e,SIMULATED,157
Item 048,set_a,SIMULATED,157
Item 048,set_b,SIMULATED,157
Item 048,set_e,SIMULATED,157
Item 049,set_f,SIMULATED,157
Item 050,set_a,SIMULATED,157
Item 050,set_b,SIMULATED,157
Item 050,set_e,SIMULATED,157
Item 051,set_a,SIMULATED,157
Item 051,set_c,SIMULATED,157
