sample_id,component_a,component_b,component_c,group,facet,label,source_type,source_seed
S01,0.62,0.23,0.15,Group A,Panel 1,,simulated,162
S02,0.55,0.30,0.15,Group A,Panel 1,,simulated,162
S03,0.48,0.34,0.18,Group A,Panel 1,A-03,simulated,162
S04,0.69,0.17,0.14,Group A,Panel 1,,simulated,162
S05,0.57,0.21,0.22,Group A,Panel 1,,simulated,162
S06,0.50,0.27,0.23,Group A,Panel 1,,simulated,162
S07,0.24,0.58,0.18,Group B,Panel 1,,simulated,162
S08,0.19,0.64,0.17,Group B,Panel 1,,simulated,162
S09,0.28,0.50,0.22,Group B,Panel 1,B-03,simulated,162
S10,0.21,0.55,0.24,Group B,Panel 1,,simulated,162
S11,0.32,0.49,0.19,Group B,Panel 1,,simulated,162
S12,0.26,0.60,0.14,Group B,Panel 1,,simulated,162
S13,0.22,0.20,0.58,Group C,Panel 1,,simulated,162
S14,0.18,0.27,0.55,Group C,Panel 1,,simulated,162
S15,0.27,0.18,0.55,Group C,Panel 1,C-03,simulated,162
S16,0.15,0.31,0.54,Group C,Panel 1,,simulated,162
S17,0.24,0.26,0.50,Group C,Panel 1,,simulated,162
S18,0.17,0.22,0.61,Group C,Panel 1,,simulated,162
S19,0.45,0.38,0.17,Group A,Panel 2,,simulated,162
S20,0.41,0.42,0.17,Group A,Panel 2,,simulated,162
S21,0.50,0.32,0.18,Group A,Panel 2,A-09,simulated,162
S22,0.37,0.44,0.19,Group A,Panel 2,,simulated,162
S23,0.43,0.34,0.23,Group A,Panel 2,,simulated,162
S24,0.39,0.37,0.24,Group A,Panel 2,,simulated,162
S25,0.30,0.41,0.29,Group B,Panel 2,,simulated,162
S26,0.27,0.46,0.27,Group B,Panel 2,,simulated,162
S27,0.34,0.38,0.28,Group B,Panel 2,B-09,simulated,162
S28,0.25,0.43,0.32,Group B,Panel 2,,simulated,162
S29,0.31,0.36,0.33,Group B,Panel 2,,simulated,162
S30,0.28,0.40,0.32,Group B,Panel 2,,simulated,162
S31,0.31,0.25,0.44,Group C,Panel 2,,simulated,162
S32,0.28,0.29,0.43,Group C,Panel 2,,simulated,162
S33,0.35,0.21,0.44,Group C,Panel 2,C-09,simulated,162
S34,0.24,0.33,0.43,Group C,Panel 2,,simulated,162
S35,0.30,0.27,0.43,Group C,Panel 2,,simulated,162
S36,0.26,0.25,0.49,Group C,Panel 2,,simulated,162
