series,group,x,y,data_mode,replicate,panel,y_lower,y_upper,x_scale,data_status,simulation_seed
Series 1,Group A,0,0.3196,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,0,0.3134,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,0,0.3293,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,1,0.4499,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,1,0.4495,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,1,0.4520,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,2,0.5606,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,2,0.5640,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,2,0.5746,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,3,0.6138,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,3,0.6412,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,3,0.6073,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,5,0.7182,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,5,0.7143,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,5,0.7360,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,8,0.7134,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,8,0.7361,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,8,0.7170,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,0,0.3928,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,0,0.3841,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,0,0.3732,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,1,0.4804,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,1,0.5279,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,1,0.5081,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,2,0.6206,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,2,0.5711,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,2,0.5967,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,3,0.5497,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,3,0.6402,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,3,0.6586,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,5,0.7407,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,5,0.7094,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,5,0.7412,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,8,0.8203,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,8,0.8029,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group A,8,0.7728,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,0,0.4014,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,0,0.4109,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,0,0.4108,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,1,0.5611,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,1,0.5671,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,1,0.5827,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,2,0.7186,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,2,0.7239,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,2,0.6806,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,3,0.7285,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,3,0.7726,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,3,0.7160,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,5,0.8563,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,5,0.8493,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,5,0.8172,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,8,0.8969,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,8,0.8896,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group B,8,0.8330,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,0,0.4569,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,0,0.4908,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,0,0.4602,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,1,0.6351,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,1,0.6608,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,1,0.6283,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,2,0.7108,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,2,0.7369,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,2,0.7231,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,3,0.7431,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,3,0.7698,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,3,0.7368,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,5,0.8822,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,5,0.8427,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,5,0.9003,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,8,0.8818,raw,R1,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,8,0.9327,raw,R2,Raw observations · linear x,,,linear,SIMULATED,164
Series 2,Group B,8,0.9319,raw,R3,Raw observations · linear x,,,linear,SIMULATED,164
Series 1,Group A,0.25,0.2490,summary,,Supplied summaries · log x,0.2134,0.2847,log,SIMULATED,164
Series 1,Group A,0.5,0.2727,summary,,Supplied summaries · log x,0.2365,0.3089,log,SIMULATED,164
Series 1,Group A,1,0.3101,summary,,Supplied summaries · log x,0.2731,0.3471,log,SIMULATED,164
Series 1,Group A,2,0.3628,summary,,Supplied summaries · log x,0.3246,0.4010,log,SIMULATED,164
Series 1,Group A,4,0.4292,summary,,Supplied summaries · log x,0.3896,0.4689,log,SIMULATED,164
Series 1,Group A,8,0.5056,summary,,Supplied summaries · log x,0.4643,0.5470,log,SIMULATED,164
Series 1,Group A,16,0.5883,summary,,Supplied summaries · log x,0.5451,0.6315,log,SIMULATED,164
Series 2,Group A,0.25,0.3135,summary,,Supplied summaries · log x,0.2778,0.3491,log,SIMULATED,164
Series 2,Group A,0.5,0.3408,summary,,Supplied summaries · log x,0.3046,0.3770,log,SIMULATED,164
Series 2,Group A,1,0.3840,summary,,Supplied summaries · log x,0.3470,0.4210,log,SIMULATED,164
Series 2,Group A,2,0.4448,summary,,Supplied summaries · log x,0.4066,0.4830,log,SIMULATED,164
Series 2,Group A,4,0.5214,summary,,Supplied summaries · log x,0.4818,0.5611,log,SIMULATED,164
Series 2,Group A,8,0.6096,summary,,Supplied summaries · log x,0.5682,0.6509,log,SIMULATED,164
Series 2,Group A,16,0.7050,summary,,Supplied summaries · log x,0.6618,0.7482,log,SIMULATED,164
Series 1,Group B,0.25,0.3390,summary,,Supplied summaries · log x,0.2994,0.3787,log,SIMULATED,164
Series 1,Group B,0.5,0.3627,summary,,Supplied summaries · log x,0.3225,0.4029,log,SIMULATED,164
Series 1,Group B,1,0.4001,summary,,Supplied summaries · log x,0.3591,0.4411,log,SIMULATED,164
Series 1,Group B,2,0.4528,summary,,Supplied summaries · log x,0.4106,0.4950,log,SIMULATED,164
Series 1,Group B,4,0.5192,summary,,Supplied summaries · log x,0.4756,0.5629,log,SIMULATED,164
Series 1,Group B,8,0.5956,summary,,Supplied summaries · log x,0.5503,0.6410,log,SIMULATED,164
Series 1,Group B,16,0.6783,summary,,Supplied summaries · log x,0.6311,0.7255,log,SIMULATED,164
Series 2,Group B,0.25,0.4035,summary,,Supplied summaries · log x,0.3638,0.4431,log,SIMULATED,164
Series 2,Group B,0.5,0.4308,summary,,Supplied summaries · log x,0.3906,0.4710,log,SIMULATED,164
Series 2,Group B,1,0.4740,summary,,Supplied summaries · log x,0.4330,0.5150,log,SIMULATED,164
Series 2,Group B,2,0.5348,summary,,Supplied summaries · log x,0.4926,0.5770,log,SIMULATED,164
Series 2,Group B,4,0.6114,summary,,Supplied summaries · log x,0.5678,0.6551,log,SIMULATED,164
Series 2,Group B,8,0.6996,summary,,Supplied summaries · log x,0.6542,0.7449,log,SIMULATED,164
