id,group,condition,value,source_type,source_seed
G1-S001,Group A,Condition 1,0.585740,simulated,173
G1-S001,Group A,Condition 2,1.399708,simulated,173
G1-S001,Group A,Condition 3,1.273642,simulated,173
G1-S002,Group A,Condition 1,-0.323178,simulated,173
G1-S002,Group A,Condition 2,-0.055012,simulated,173
G1-S002,Group A,Condition 3,0.523661,simulated,173
G1-S003,Group A,Condition 1,-0.054969,simulated,173
G1-S003,Group A,Condition 2,0.586063,simulated,173
G1-S003,Group A,Condition 3,0.706191,simulated,173
G1-S004,Group A,Condition 1,-1.767090,simulated,173
G1-S004,Group A,Condition 2,-2.402501,simulated,173
G1-S004,Group A,Condition 3,-2.833858,simulated,173
G1-S005,Group A,Condition 1,-1.369409,simulated,173
G1-S005,Group A,Condition 2,-0.984289,simulated,173
G1-S005,Group A,Condition 3,-0.394287,simulated,173
G1-S006,Group A,Condition 1,-0.368712,simulated,173
G1-S006,Group A,Condition 2,-0.554774,simulated,173
G1-S006,Group A,Condition 3,0.112246,simulated,173
G1-S007,Group A,Condition 1,0.464289,simulated,173
G1-S007,Group A,Condition 2,0.237626,simulated,173
G1-S007,Group A,Condition 3,0.552110,simulated,173
G1-S008,Group A,Condition 1,0.586724,simulated,173
G1-S008,Group A,Condition 2,0.916211,simulated,173
G1-S008,Group A,Condition 3,-0.031880,simulated,173
G1-S009,Group A,Condition 1,-0.063142,simulated,173
G1-S009,Group A,Condition 2,-0.124844,simulated,173
G1-S009,Group A,Condition 3,-0.478701,simulated,173
G1-S010,Group A,Condition 1,-2.019374,simulated,173
G1-S010,Group A,Condition 2,-1.568525,simulated,173
G1-S010,Group A,Condition 3,-0.916070,simulated,173
G1-S011,Group A,Condition 1,0.181348,simulated,173
G1-S011,Group A,Condition 2,0.572975,simulated,173
G1-S011,Group A,Condition 3,1.525225,simulated,173
G1-S012,Group A,Condition 1,-0.647611,simulated,173
G1-S012,Group A,Condition 2,-0.814947,simulated,173
G1-S012,Group A,Condition 3,-0.855783,simulated,173
G1-S013,Group A,Condition 1,-0.380054,simulated,173
G1-S013,Group A,Condition 2,0.285564,simulated,173
G1-S013,Group A,Condition 3,0.617833,simulated,173
G1-S014,Group A,Condition 1,0.629177,simulated,173
G1-S014,Group A,Condition 2,1.120947,simulated,173
G1-S014,Group A,Condition 3,1.433589,simulated,173
G1-S015,Group A,Condition 1,-0.154188,simulated,173
G1-S015,Group A,Condition 2,0.556841,simulated,173
G1-S015,Group A,Condition 3,0.900633,simulated,173
G1-S016,Group A,Condition 1,0.636218,simulated,173
G1-S016,Group A,Condition 2,1.204076,simulated,173
G1-S016,Group A,Condition 3,1.999241,simulated,173
G2-S001,Group B,Condition 1,-0.742248,simulated,173
G2-S001,Group B,Condition 2,-0.537684,simulated,173
G2-S001,Group B,Condition 3,-1.382369,simulated,173
G2-S002,Group B,Condition 1,-2.028360,simulated,173
G2-S002,Group B,Condition 2,-1.340385,simulated,173
G2-S002,Group B,Condition 3,-1.419147,simulated,173
G2-S003,Group B,Condition 1,-0.106211,simulated,173
G2-S003,Group B,Condition 2,0.266949,simulated,173
G2-S003,Group B,Condition 3,0.267251,simulated,173
G2-S004,Group B,Condition 1,0.267632,simulated,173
G2-S004,Group B,Condition 2,0.673617,simulated,173
G2-S004,Group B,Condition 3,0.577390,simulated,173
G2-S005,Group B,Condition 1,-0.913722,simulated,173
G2-S005,Group B,Condition 2,-0.980724,simulated,173
G2-S005,Group B,Condition 3,-1.851549,simulated,173
G2-S006,Group B,Condition 1,0.618256,simulated,173
G2-S006,Group B,Condition 2,1.321475,simulated,173
G2-S006,Group B,Condition 3,1.657689,simulated,173
G2-S007,Group B,Condition 1,-0.271044,simulated,173
G2-S007,Group B,Condition 2,-0.632355,simulated,173
G2-S007,Group B,Condition 3,-0.702994,simulated,173
G2-S008,Group B,Condition 1,0.861898,simulated,173
G2-S008,Group B,Condition 2,0.446192,simulated,173
G2-S008,Group B,Condition 3,-0.205521,simulated,173
G2-S009,Group B,Condition 1,-1.889182,simulated,173
G2-S009,Group B,Condition 2,-2.302391,simulated,173
G2-S009,Group B,Condition 3,-1.979138,simulated,173
G2-S010,Group B,Condition 1,-1.256542,simulated,173
G2-S010,Group B,Condition 2,-1.134472,simulated,173
G2-S010,Group B,Condition 3,-1.399873,simulated,173
