source_type,facet,sample,category,value
simulated,Day 0,S01,Alpha,0.42
simulated,Day 0,S01,Beta,0.28
simulated,Day 0,S01,Gamma,0.18
simulated,Day 0,S01,Other,0.12
simulated,Day 0,S02,Alpha,0.36
simulated,Day 0,S02,Beta,0.31
simulated,Day 0,S02,Gamma,0.21
simulated,Day 0,S02,Other,0.12
simulated,Day 0,S03,Alpha,0.47
simulated,Day 0,S03,Beta,0.23
simulated,Day 0,S03,Gamma,0.17
simulated,Day 0,S03,Other,0.13
simulated,Day 7,S01,Alpha,0.30
simulated,Day 7,S01,Beta,0.34
simulated,Day 7,S01,Gamma,0.24
simulated,Day 7,S01,Other,0.12
simulated,Day 7,S02,Alpha,0.27
simulated,Day 7,S02,Beta,0.37
simulated,Day 7,S02,Gamma,0.22
simulated,Day 7,S02,Other,0.14
simulated,Day 7,S03,Alpha,0.33
simulated,Day 7,S03,Beta,0.29
simulated,Day 7,S03,Gamma,0.26
simulated,Day 7,S03,Other,0.12
